	SSP	A1	A2	A3	C1	C2	R1	R2	spot_num	spot_acc	spot_annot
57	SSP 6704	20.1520872171632	19.4636887051149	20.2603474794323	20.5331127673143	18.4833934911933	20.2603474794323	18.9119076393161	57	"Glyceraldehyde-3-phosphate dehydrogenase [Oryza sativa Indica Group]
"	AAA82047.1  
51	SSP 6705	19.1119215790018	16.2394346810287	19.3542580632328	17.3786334754537	18.3151315954296	19.9358635453528	19.6386672007022	51	-	-
47	SSP 6706	17.2630823294971	20.220148835773	18.1481751305245	20.1520872171632	19.7918042918948	19.2530181443947	19.5498639372186	47	-	-
52	SSP 6707	17.8117501840766	18.8105810370282	13.4330967973942	18.4833934911933	19.9358635453528	17.8117501840766	17.7127773022889	52	Peroxisomal (S)-2-hydroxy-acid oxidase GLO1 [Oryza sativa Japonica Group]	XP_025879724.1
53	SSP 6708	19.8818027993828	13.4330967973942	17.1176274970442	16.2394346810287	19.679277325995	18.1481751305245	16.6210663376949	53	-	-
56	SSP 6709	20.3032819320165	19.6386672007022	17.7127773022889	20.220148835773	19.3542580632328	15.9569975728321	17.1176274970442	56	"Glyceraldehyde-3-phosphate dehydrogenase [Oryza sativa Indica Group]
"	AAA82047.1  
67	SSP 6803	17.4731966549658	17.2630823294971	16.6210663376949	17.7127773022889	16.7853548186603	17.3786334754537	17.3786334754537	67	-	-
68	SSP 6903	19.0142374656242	17.9488087664632	17.4731966549658	17.9948027020822	17.4731966549658	17.5798786125235	17.4731966549658	68	-	-
7	SSP 7503	20.8479397304666	20.2603474794323	19.679277325995	19.9358635453528	18.9119076393161	14.840444546124	15.3549626823598	7	Ribulose bisphosphate carboxylase small chain A, chloroplastic [Oryza sativa Japonica Group]	XP_015619408 
12	SSP 7504	15.9569975728321	14.840444546124	14.840444546124	17.2630823294971	16.2394346810287	17.7127773022889	17.2630823294971	12	-	-
13	SSP 7505	17.9488087664632	16.6210663376949	16.3644287737035	16.3644287737035	14.840444546124	16.7853548186603	17.8117501840766	13	Photosynthetic NDH subunit of lumenal location 5, chloroplastic [Oryza sativa Japonica Group]	XP_015640756.1
54	SSP 7701	19.6386672007022	18.9119076393161	19.7918042918948	19.0142374656242	19.8818027993828	17.1176274970442	17.9488087664632	54	Peroxisomal (S)-2-hydroxy-acid oxidase GLO1 [Oryza sativa Japonica Group]	XP_025879724.1
14	SSP 8502	13.9622443243712	17.1176274970442	10.5992553919478	18.9119076393161	15.3549626823598	17.2630823294971	16.2394346810287	14	-	-
69	SSP 8904	18.8585607633799	17.8117501840766	17.9488087664632	17.8117501840766	17.1176274970442	18.7466131969654	18.4287662101371	69	-	-
32	SSP new1	21.5132728071258	19.1119215790018	20.4531996984783	20.0382645091058	20.8479397304666	19.3542580632328	20.1520872171632	32	"Putative Peptidyl-prolyl cis-trans isomerase, chloroplast precursor (40 kDa thylakoid lumen rotamase) [Oryza sativa Japonica Group]
"	BAD05657.1 
33	SSP new2	21.6267663675391	20.0382645091058	20.8479397304666	21.1183854314823	21.3933176606163	20.0382645091058	20.9832940309046	33	-	-
34	SSP new3	21.8036230276845	20.5331127673143	21.1846782192261	21.6267663675391	21.8036230276845	20.3032819320165	21.1183854314823	34	Phosphoribulokinase, chloroplastic [Oryza sativa Japonica Group]	XP_015625719.1
35	SSP new4	22.1793089218366	20.3832981459701	21.6968877929202	21.8997751629432	22.0807608787095	20.220148835773	21.1846782192261	35	Sedoheptulose-1,7-bisphosphatase	XP_015633459.1 
41	SSP new5	22.6385308555618	21.3231005708319	21.9524226758489	21.9524226758489	22.4991118694038	20.5953053795549	21.6968877929202	41	Fructose-bisphosphate aldolase, chloroplastic [Oryza sativa Japonica Group]	XP_015616895.1
42	SSP new6	22.8124672351596	21.6267663675391	22.0807608787095	22.4991118694038	22.8124672351596	21.3231005708319	21.6267663675391	42	Fructose-bisphosphate aldolase, chloroplastic	XP_015616895.1
43	SSP new7	22.2771543505788	20.9217390954786	21.8036230276845	22.1793089218366	22.6385308555618	20.9217390954786	21.3231005708319	43	Fructose-bisphosphate aldolase, chloroplastic [Oryza sativa Japonica Group]	XP_015616895.1
59	SSP new8	21.8997751629432	20.4531996984783	21.3231005708319	20.2603474794323	20.220148835773	20.5331127673143	20.2603474794323	59	"Ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit [Oryza sativa]
"	QFR04205.1
60	SSP new9	21.9524226758489	20.9832940309046	21.8997751629432	20.5953053795549	20.5331127673143	20.8479397304666	20.5331127673143	60	"Ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit [Oryza sativa]
"	QFR04205.1 
61	SSP new10	22.0807608787095	20.6876812285382	21.3933176606163	21.3231005708319	21.5561677715029	21.6267663675391	21.5561677715029	61	"Putative atpB; ATPase beta subunit from chromosome 10 chloroplast insertion [Oryza sativa Japonica Group]
"	AAM08603.1
62	SSP new11	22.4991118694038	21.1846782192261	21.5132728071258	21.5132728071258	21.6968877929202	21.6968877929202	21.8036230276845	62	ATP synthase CF1 beta subunit (chloroplast) [Oryza glaberrima]	AGY93290.1
63	SSP new12	23.1222983325014	21.6968877929202	21.6267663675391	21.6968877929202	21.8997751629432	21.5561677715029	21.3933176606163	63	ATP synthase CF1 beta subunit (chloroplast) [Oryza glaberrima]	AGY93290.1
64	SSP new13	23.8403170978344	21.8036230276845	22.1793089218366	21.1846782192261	20.6876812285382	21.1846782192261	20.9217390954786	64	Ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit [Oryza sativa]	QFR04205.1
66	SSP new14	23.334345863696	21.5561677715029	22.6385308555618	20.8479397304666	20.9217390954786	21.5132728071258	20.3032819320165	66	"Ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit [Oryza sativa]
"	QFR04205.1 
