	SSP	A1	A2	A3	C1	C2	C3	R1	R2	R3	spot_num	spot_acc	spot_annot
91	SSP 3904	21.531148342335	21.4045042552582	22.0628979476773	22.9072900350693	19.5470909276061	23.8506668574761	22.0286245713257	24.3548234498187	20.6365245542631	91	Aspartic proteinase nepenthesin-1 [Oryza sativa Japonica Group]	XP_015613137.1
92	SSP 3905	21.8000038296523	25.0365360640417	19.4582519342301	22.2779352684778	21.4912665473094	23.4302632588311	21.4912665473094	21.6221967240433	21.6221967240433	92	Aspartic proteinase nepenthesin-1 [Oryza sativa Japonica Group]	XP_015613137.1
10	SSP 4001	19.3161461213678	18.0165661812475	15.1742602603229	18.5961461250755	13.9600514518092	15.1742602603229	19.3161461213678	18.5961461250755	11.1613856209191	10	-	-
9	SSP 4002	20.2715666332156	19.6578921762106	18.4955773195627	18.7220328663981	20.6365245542631	16.3482160478939	19.9299426014254	18.4955773195627	20.2312145723292	9	-	-
24	SSP 4101	21.3554813435236	22.0969269682973	18.2020619135494	20.9901038807492	18.7220328663981	21.6221967240433	20.7732549329475	21.4045042552582	19.5470909276061	24	-	-
19	SSP 4102	18.4955773195627	17.4301027063194	20.4381027387076	19.4582519342301	18.9290654844917	19.6578921762106	18.5961461250755	16.5934418790313	19.8010245157255	19	"Pr1-like protein [Oryza sativa Japonica Group]
"	BAD62456.1 
20	SSP 4103	19.9299426014254	19.5470909276061	13.9600514518092	18.9290654844917	15.1742602603229	18.0165661812475	20.0640788452215	17.7814382726764	15.7773688392371	20	-	-
21	SSP 4104	20.1190224106085	17.0803737747154	18.7220328663981	20.3318248246564	19.3161461213678	19.5470909276061	19.8010245157255	18.2020619135494	18.5961461250755	21	Superoxide dismutase [Oryza sativa Japonica Group]	AAA33917.1 
23	SSP 4105	22.0286245713257	19.9299426014254	22.0286245713257	21.0283768757533	21.0595726498002	17.4301027063194	19.5470909276061	20.0640788452215	21.5895174935602	23	-	-
35	SSP 4402	21.9802341958946	20.8344132017289	20.5035674922033	22.6876254220705	20.5035674922033	21.9386945160419	21.735993016152	21.4912665473094	21.4501795201192	35	-	-
41	SSP 4403	23.4302632588311	21.0283768757533	17.7814382726764	22.8410566839344	20.3964365235694	21.5895174935602	21.8490945027563	15.7773688392371	22.3937746244904	41	Cysteine-rich receptor-like protein kinase 6 [Oryza sativa Japonica Group]	XP_015635326.1  
40	SSP 4502	20.7075838673955	19.7220145406806	21.9802341958946	20.8344132017289	20.8344132017289	20.2715666332156	22.4343864994458	22.8410566839344	20.9901038807492	40	Cysteine-rich receptor-like protein kinase 6 [Oryza sativa Japonica Group]	XP_015635326.1  
51	SSP 4503	21.8490945027563	18.3660071925935	23.3499629178802	21.3554813435236	21.0283768757533	19.9299426014254	20.8801967612333	21.0595726498002	23.135831656852	51	Glucan endo-1,3-beta-glucosidase 3 isoform X2 [Oryza sativa Japonica Group]	XP_015647554.1  
55	SSP 4602	22.991884835859	21.3554813435236	22.6038243219473	23.2063311994369	21.1217887868594	23.5429718045588	22.6038243219473	21.531148342335	22.0286245713257	55	-	-
56	SSP 4603	22.9072900350693	20.7732549329475	22.991884835859	24.3548234498187	23.8506668574761	22.9072900350693	22.3937746244904	21.4501795201192	21.3554813435236	56	Peroxidase 2 [Oryza sativa Japonica Group]	BAC79528.1
25	SSP 5102	22.3028456335414	20.2715666332156	23.4302632588311	21.4912665473094	20.4381027387076	21.1886909373624	21.531148342335	19.9299426014254	21.4045042552582	25	-	-
42	SSP 5501	22.0628979476773	17.6357306102015	21.2653409806094	20.6365245542631	19.0752600953375	17.7814382726764	21.9386945160419	22.6038243219473	21.735993016152	42	-	-
57	SSP 5601	22.3348834094434	22.6038243219473	20.3318248246564	23.5429718045588	22.0628979476773	24.3548234498187	22.9072900350693	22.3028456335414	21.2950310429916	57	Peroxidase 2 [Oryza sativa Japonica Group]	BAC79528.1
18	SSP 6001	18.5961461250755	15.1742602603229	21.6892657957403	20.5839530041281	18.0165661812475	17.9071983079425	18.9290654844917	15.1742602603229	20.9300711221754	18	-	-
26	SSP 6102	20.8801967612333	20.5035674922033	20.0640788452215	20.8801967612333	18.2020619135494	20.8344132017289	20.6365245542631	22.0628979476773	19.7220145406806	26	Superoxide dismutase [Cu-Zn] 2 [Oryza sativa Japonica Group]	XP_015647771.1
22	SSP 6103	21.1217887868594	21.5895174935602	21.3554813435236	20.7075838673955	18.3660071925935	20.4381027387076	20.4381027387076	20.3318248246564	22.991884835859	22	-	-
52	SSP 7501	22.7761904595367	19.8010245157255	22.4994412923589	18.3660071925935	17.9071983079425	18.7220328663981	21.6221967240433	21.8920275429938	23.4302632588311	52	Glucan endo-1,3-beta-glucosidase 3 isoform X2 [Oryza sativa Japonica Group] 	XP_015647554.1 
43	SSP 7502	21.9386945160419	20.2312145723292	19.8010245157255	17.6357306102015	19.4582519342301	18.2020619135494	20.9901038807492	21.2653409806094	20.5839530041281	43	Glucan endo-1,3-beta-glucosidase 3 isoform X2 [Oryza sativa Japonica Group]	XP_015647554.1
58	SSP 7602	22.2400200699747	21.531148342335	21.4045042552582	22.5565835236172	21.8920275429938	21.2653409806094	21.0283768757533	20.5035674922033	21.531148342335	58	Chitinase 2 [Oryza sativa Japonica Group]	XP_015640432.1
11	SSP 8002	15.1742602603229	11.1613856209191	11.1613856209191	19.0752600953375	17.4301027063194	18.9290654844917	11.1613856209191	11.1613856209191	13.9600514518092	11	-	-
28	SSP 8202	19.0752600953375	18.9290654844917	21.4501795201192	18.4955773195627	20.7732549329475	20.5035674922033	20.3318248246564	18.7220328663981	21.8000038296523	28	Cysteine-rich receptor-like protein kinase 6 [Oryza sativa Japonica Group]	XP_015635326.1 
29	SSP 8203	17.4301027063194	17.9071983079425	20.2715666332156	17.0803737747154	20.7075838673955	18.5961461250755	17.7814382726764	19.6578921762106	18.3660071925935	29	Glucan endo-1,3-beta-glucosidase 3 isoform X2 [Oryza sativa Japonica Group]	XP_015647554.1  
46	SSP 8501	19.5763434296892	22.2779352684778	20.5839530041281	20.2715666332156	20.5839530041281	21.2950310429916	19.5763434296892	20.5839530041281	20.1190224106085	46	Germin-like protein 1-1 [Oryza sativa Japonica Group]	XP_015622834.1
45	SSP 8502	20.7732549329475	21.6221967240433	20.2312145723292	20.2312145723292	21.4501795201192	20.7075838673955	20.1190224106085	21.2950310429916	20.8344132017289	45	Chitinase 2 [Oryza sativa Japonica Group]	XP_015640432.1 
72	SSP 8801	18.3660071925935	19.3161461213678	18.5961461250755	21.5895174935602	24.0622155548697	22.6038243219473	16.5934418790313	17.9071983079425	18.4955773195627	72	-	-
84	SSP 8901	11.1613856209191	15.7773688392371	19.3161461213678	19.5470909276061	20.3318248246564	20.2312145723292	15.1742602603229	16.3482160478939	16.5934418790313	84	-	-
85	SSP 8902	17.6357306102015	18.4955773195627	20.7732549329475	20.4381027387076	20.2715666332156	21.0595726498002	18.0165661812475	19.5470909276061	18.2020619135494	85	-	-
86	SSP 8903	17.0803737747154	13.9600514518092	21.1217887868594	21.0595726498002	20.9901038807492	21.8490945027563	18.2020619135494	19.3161461213678	19.3161461213678	86	"Alpha-L-arabinofuranosidase 1 isoform X3 [Oryza sativa Japonica Group]
"	XP_015617521.1
87	SSP 8904	16.3482160478939	18.2020619135494	19.5470909276061	19.8010245157255	20.8801967612333	21.0283768757533	17.4301027063194	18.9290654844917	17.7814382726764	87	-	-
88	SSP 8905	15.7773688392371	17.7814382726764	17.4301027063194	18.2020619135494	20.0640788452215	18.3660071925935	15.7773688392371	17.0803737747154	16.3482160478939	88	-	-
71	SSP 8906	18.9290654844917	20.4381027387076	22.9072900350693	21.1886909373624	21.5895174935602	22.7761904595367	16.3482160478939	18.0165661812475	17.6357306102015	71	-	-
75	SSP 8907	18.2020619135494	18.5961461250755	19.9299426014254	22.4343864994458	21.531148342335	22.0969269682973	13.9600514518092	17.6357306102015	17.0803737747154	75	-	-
17	SSP 9001	21.2950310429916	24.0622155548697	22.3937746244904	21.2950310429916	21.8490945027563	24.0622155548697	22.0628979476773	22.4994412923589	22.6876254220705	17	-	-
27	SSP 9202	16.5934418790313	18.7220328663981	16.5934418790313	17.7814382726764	19.7220145406806	19.5763434296892	17.0803737747154	20.2312145723292	20.3964365235694	27	-	-
47	SSP 9402	13.9600514518092	16.3482160478939	20.9901038807492	11.1613856209191	15.7773688392371	11.1613856209191	17.9071983079425	20.8801967612333	19.4582519342301	47	-	-
48	SSP 9501	18.7220328663981	19.5763434296892	21.0283768757533	20.3964365235694	21.1886909373624	22.0286245713257	18.4955773195627	19.5763434296892	17.4301027063194	48	-	-
53	SSP 9602	17.7814382726764	16.5934418790313	19.0752600953375	20.9300711221754	21.3554813435236	22.8410566839344	17.6357306102015	20.7732549329475	19.9299426014254	53	-	-
73	SSP 9802	17.9071983079425	19.4582519342301	18.0165661812475	16.5934418790313	20.1190224106085	19.4582519342301	18.3660071925935	20.6365245542631	18.0165661812475	73	Peroxidase P7 [Oryza sativa Japonica Group]	XP_015643864.1
74	SSP 9803	22.4343864994458	23.135831656852	22.3028456335414	22.991884835859	25.5380758279657	25.0365360640417	19.0752600953375	20.4381027387076	20.5035674922033	74	Fructose-bisphosphate aldolase 3, cytoplasmic [Oryza sativa Japonica Group]	XP_015613809.1
44	SSP new1	20.5839530041281	21.4912665473094	20.9300711221754	20.7732549329475	21.4045042552582	20.5839530041281	21.5895174935602	21.1886909373624	20.7732549329475	44	Glucan endo-1,3-beta-glucosidase 3 isoform X2 [Oryza sativa Japonica Group]	XP_015647554.1 
59	SSP new2	22.0969269682973	22.7761904595367	21.9386945160419	22.3028456335414	22.8410566839344	22.3937746244904	23.5429718045588	22.7761904595367	22.6038243219473	59	-	-
60	SSP new3	22.2779352684778	22.3937746244904	21.8000038296523	22.3348834094434	22.6876254220705	22.3348834094434	23.4302632588311	22.2400200699747	22.4994412923589	60	Peroxidase 2 [Oryza sativa Japonica Group]	BAC79528.1
63	SSP new4	21.8920275429938	22.3028456335414	22.2779352684778	21.4501795201192	22.0969269682973	21.4045042552582	22.991884835859	22.0969269682973	22.8410566839344	63	-	-
64	SSP new5	22.1650268336755	22.8410566839344	22.1289201644365	22.1289201644365	22.9072900350693	22.3028456335414	22.7761904595367	22.991884835859	22.7761904595367	64	Peroxidase 2 [Oryza sativa Japonica Group	BAC79528.1
65	SSP new6	22.1289201644365	22.4994412923589	22.2400200699747	22.4994412923589	23.135831656852	22.5565835236172	22.8410566839344	23.135831656852	22.2779352684778	65	-	-
66	SSP new7	21.6892657957403	22.1650268336755	22.3348834094434	22.6038243219473	22.7761904595367	22.4343864994458	22.4994412923589	22.9072900350693	22.0628979476773	66	Peroxidase 2 [Oryza sativa Japonica Group]	BAC79528.1
67	SSP new8	20.9901038807492	22.0628979476773	22.5565835236172	22.3937746244904	22.6038243219473	21.8920275429938	22.3348834094434	22.5565835236172	22.1289201644365	67	Peroxidase 2 [Oryza sativa Japonica Group]	BAC79528.1
68	SSP new9	21.4912665473094	21.9386945160419	21.5895174935602	21.9802341958946	22.3028456335414	21.8000038296523	22.2779352684778	22.4343864994458	21.9386945160419	68	Peroxidase 2 [Oryza sativa Japonica Group]	BAC79528.1
69	SSP new10	20.6365245542631	21.735993016152	21.4912665473094	22.1650268336755	21.9386945160419	21.531148342335	22.2400200699747	21.9386945160419	22.2400200699747	69	Chitinase 2 [Oryza sativa Japonica Group]	XP_015640432.1
70	SSP new11	20.3318248246564	21.1217887868594	21.8490945027563	21.4045042552582	22.0286245713257	21.3554813435236	22.0969269682973	21.735993016152	22.0969269682973	70	-	-
76	SSP new12	19.7220145406806	21.8000038296523	20.8801967612333	21.6221967240433	22.1650268336755	22.1289201644365	21.2950310429916	20.9300711221754	20.4381027387076	76	Fructose-bisphosphate aldolase 3, cytoplasmic [Oryza sativa Japonica Group]	XP_015613809.1
77	SSP new13	20.0640788452215	21.9802341958946	21.0595726498002	21.735993016152	22.5565835236172	21.9802341958946	21.1217887868594	20.7075838673955	20.3318248246564	77	Fructose-bisphosphate aldolase 3, cytoplasmic [Oryza sativa Japonica Group]	XP_015613809.1
78	SSP new14	19.8010245157255	21.8920275429938	21.1886909373624	22.0286245713257	22.2400200699747	22.4994412923589	21.4045042552582	21.3554813435236	21.0595726498002	78	Peroxidase P7 [Oryza sativa Japonica Group]	XP_015643864.1
79	SSP new15	19.6578921762106	21.2950310429916	20.7075838673955	21.2653409806094	21.6221967240433	21.4912665473094	21.0595726498002	20.8344132017289	21.2653409806094	79	-	-
80	SSP new16	20.8344132017289	22.2400200699747	21.531148342335	21.8490945027563	22.2779352684778	22.2779352684778	22.3028456335414	21.9802341958946	22.1650268336755	80	-	-
93	SSP new17	21.735993016152	22.5565835236172	22.4343864994458	21.9386945160419	22.4994412923589	22.2400200699747	23.2063311994369	22.2779352684778	21.9802341958946	93	-	-
